Date,Name,Year,Letterboxd URI,Rating
2024-07-09,Donnie Darko,2001,https://boxd.it/2b2A,3.5
2024-07-09,Big Fish,2003,https://boxd.it/2a3M,3.5
2024-07-09,Soul,2020,https://boxd.it/ioLA,4
2024-07-09,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA,3
2024-07-09,The Big Short,2015,https://boxd.it/ajZw,4
2024-07-09,Little Women,2019,https://boxd.it/aSVk,3
2024-07-09,Black Swan,2010,https://boxd.it/Sw0,3.5
2024-07-09,"Girl, Interrupted",1999,https://boxd.it/25ds,3.5
2024-07-09,The Social Network,2010,https://boxd.it/17ue,3.5
2024-07-09,The Notebook,2004,https://boxd.it/1UNE,4.5
2024-07-09,Eyes Wide Shut,1999,https://boxd.it/2axs,4
2024-07-09,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O,3.5
2024-07-09,Barry Lyndon,1975,https://boxd.it/25A2,3.5
2024-07-09,Platoon,1986,https://boxd.it/29BS,4
2024-07-09,The Third Man,1949,https://boxd.it/294E,4
2024-07-09,Raging Bull,1980,https://boxd.it/28yI,4
2024-07-09,All About Eve,1950,https://boxd.it/29LI,4
2024-07-09,Downfall,2004,https://boxd.it/2a04,4
2024-07-09,Love Actually,2003,https://boxd.it/2aeU,4.5
2024-07-09,King Richard,2021,https://boxd.it/mJZ2,3.5
2024-07-09,Julie & Julia,2009,https://boxd.it/1wXg,3.5
2024-07-09,The Minimalists: Less Is Now,2021,https://boxd.it/t5Ww,3
2024-07-09,The Best Offer,2013,https://boxd.it/4Oh4,4
2024-07-09,Ennio,2021,https://boxd.it/dRZc,4.5
2024-07-09,Do Not Disturb,2023,https://boxd.it/Bfxs,2.5
2024-07-09,Crumb,1994,https://boxd.it/1tDi,4
2024-07-09,The Ox-Bow Incident,1942,https://boxd.it/29ai,4
2024-07-09,La Notte,1961,https://boxd.it/10iU,4
2024-07-09,Baturay Özdemir: Biraz Daha,2023,https://boxd.it/ICxk,4
2024-07-09,Ricky Gervais: Humanity,2018,https://boxd.it/ipiO,3.5
2024-07-09,The Ballad of Buster Scruggs,2018,https://boxd.it/jB2q,3.5
2024-07-09,Nothing Lasts Forever,2022,https://boxd.it/yvfI,3
2024-07-09,Memoirs of a Geisha,2005,https://boxd.it/27TA,3.5
2024-07-09,Don't Look Up,2021,https://boxd.it/o0Hc,2.5
2024-07-09,Another Round,2020,https://boxd.it/lkba,4.5
2024-07-09,The Platform,2019,https://boxd.it/mUm6,4
2024-07-09,El Camino: A Breaking Bad Movie,2019,https://boxd.it/kv0q,3
2024-07-09,The Road to El Camino: Behind the Scenes of El Camino: A Breaking Bad Movie,2019,https://boxd.it/zes8,3
2024-07-09,Roma,2018,https://boxd.it/f69M,4
2024-07-09,Guillermo del Toro's Pinocchio,2022,https://boxd.it/kjMW,4
2024-07-09,Silverado,1985,https://boxd.it/1TGC,4
2024-07-09,Mortal World,2018,https://boxd.it/i1G8,3
2024-07-09,El Pepe: A Supreme Life,2018,https://boxd.it/jD60,3.5
2024-07-09,Bed and Board,1970,https://boxd.it/2aKw,4
2024-07-09,The Recorder Exam,2011,https://boxd.it/kqQc,4.5
2024-07-09,Three Colours: White,1994,https://boxd.it/2b7A,4
2024-07-09,The Age of Innocence,1993,https://boxd.it/1WgM,3.5
2024-07-09,Popeye the Sailor Meets Sindbad the Sailor,1936,https://boxd.it/2f70,3.5
2024-07-09,The Perks of Being a Wallflower,2012,https://boxd.it/2ZA8,3.5
2024-07-09,Donnie Brasco,1997,https://boxd.it/1YRA,4
2024-07-09,Ricky Gervais: SuperNature,2022,https://boxd.it/AKvK,3.5
2024-07-09,Focus,2015,https://boxd.it/7zl2,3
2024-07-09,The Mitchells vs. the Machines,2021,https://boxd.it/i7xm,3.5
2024-07-09,The Power of the Dog,2021,https://boxd.it/m99E,3.5
2024-07-09,47 Ronin,2013,https://boxd.it/Jk,2
2024-07-09,Silver Linings Playbook,2012,https://boxd.it/2TTo,4
2024-07-09,The Karate Kid,1984,https://boxd.it/27Wk,4.5
2024-07-09,Primal Fear,1996,https://boxd.it/28ws,4
2024-07-09,Cem Yılmaz: Diamond Elite Platinum Plus,2021,https://boxd.it/yvJo,2
2024-07-09,My Octopus Teacher,2020,https://boxd.it/prk2,4
2024-07-09,Anatomy of a Murder,1959,https://boxd.it/2baa,4
2024-07-09,Homecoming: A Film by Beyoncé,2019,https://boxd.it/lS2Q,4
2024-07-09,Money Heist: From Tokyo to Berlin,2021,https://boxd.it/x9cK,3.5
2024-07-09,Frida,2002,https://boxd.it/28Vi,3.5
2024-07-09,Coach Carter,2005,https://boxd.it/218e,4
2024-07-09,Rififi,1955,https://boxd.it/29f8,4
2024-07-09,Marriage Story,2019,https://boxd.it/hJAw,3.5
2024-07-09,Seaspiracy,2021,https://boxd.it/u9rE,3.5
2024-07-09,David Attenborough: A Life on Our Planet,2020,https://boxd.it/oIvu,4
2024-07-09,Notting Hill,1999,https://boxd.it/2aeK,3
2024-07-09,It Could Happen to You,1994,https://boxd.it/1VHC,3
2024-07-09,Malena,2000,https://boxd.it/1Vc0,4.5
2024-07-09,Blindness,2008,https://boxd.it/20lc,2.5
2024-07-09,I Vitelloni,1953,https://boxd.it/1RJE,4
2024-07-09,Awakenings,1990,https://boxd.it/1USu,4.5
2024-07-09,Seven Years in Tibet,1997,https://boxd.it/29aC,4
2024-07-09,Sleepers,1996,https://boxd.it/29xw,4.5
2024-07-09,Charlie and the Chocolate Factory,2005,https://boxd.it/2b68,3
2024-07-09,Zodiac,2007,https://boxd.it/27MO,3.5
2024-07-09,American Hustle,2013,https://boxd.it/5dz8,3
2024-07-09,Hostiles,2017,https://boxd.it/dpiO,3.5
2024-07-09,High Noon,1952,https://boxd.it/2aGa,4
2024-07-09,The Dictator,2012,https://boxd.it/2DEW,4
2024-07-09,The Devil's Advocate,1997,https://boxd.it/286k,3.5
2024-07-09,The Great Gatsby,2013,https://boxd.it/JY,3.5
2024-07-09,Sisters-In-Law,2020,https://boxd.it/oJWm,3
2024-07-09,As Good as It Gets,1997,https://boxd.it/268y,4
2024-07-09,The Invention of Lying,2009,https://boxd.it/1zGs,3.5
2024-07-09,Perú: Tesoro Escondido,2017,https://boxd.it/hSX0,3.5
2024-07-09,Minimalism: A Documentary About the Important Things,2015,https://boxd.it/dIIQ,4
2024-07-09,Kolpaçino,2009,https://boxd.it/EBU,4
2024-07-09,Kolpaçino: Bomba,2011,https://boxd.it/2Bv4,3.5
2024-07-09,Kolpachino 3: Chain,2016,https://boxd.it/e56q,1
2024-07-09,Zeitgeist,2007,https://boxd.it/1R0Y,4
2024-07-09,Zeitgeist: Addendum,2008,https://boxd.it/1QEo,3.5
2024-07-09,Zeitgeist: Moving Forward,2011,https://boxd.it/uE0,3
2024-07-09,Midnight Cowboy,1969,https://boxd.it/25Hi,4.5
2024-07-09,Inside Job,2010,https://boxd.it/Rsw,4
2024-07-09,My Name Is Nobody,1973,https://boxd.it/1YAE,4
2024-07-09,Vicky Cristina Barcelona,2008,https://boxd.it/23rW,3.5
2024-07-09,Pompeii,2014,https://boxd.it/2E8W,2.5
2024-07-09,War of the Worlds,2005,https://boxd.it/2bde,3
2024-07-09,The Condemned,2007,https://boxd.it/1NGw,2
2024-07-09,Andhadhun,2018,https://boxd.it/jtfc,3
2024-07-09,Pocket Hercules: Naim Suleymanoglu,2019,https://boxd.it/oavA,4
2024-07-09,The Birds,1963,https://boxd.it/2a6m,4
2024-07-09,Rio Bravo,1959,https://boxd.it/2aE4,4
2024-07-09,Stagecoach,1939,https://boxd.it/297S,4
2024-07-09,The Searchers,1956,https://boxd.it/25HC,4
2024-07-09,The Invisible Guest,2016,https://boxd.it/euce,3.5
2024-07-09,Great Expectations,1998,https://boxd.it/1YKE,3
2024-07-09,The Zookeeper's Wife,2017,https://boxd.it/91Kc,3
2024-07-09,I Want to Eat Your Pancreas,2018,https://boxd.it/ie6C,4
2024-07-09,The Fall,2006,https://boxd.it/1NoM,3.5
2024-07-09,Money Trap,2019,https://boxd.it/lfkw,2
